address,price,pris_per_kvm,rum,van,kvm,date,kvm_tomt,housing_type
Gravandsvägen 3,6750000,50000,5,,135,2025-07-05,460,Villa
Slussgatan 12C,2670000,44500,2,4,60,2025-07-05,,Lägenhet
Åkerögången 243,975000,24400,2,,40,2025-07-05,290,Fritidshus
Nobelvägen 82,2200000,30100,2,4,73,2025-07-05,,Lägenhet
Roslins väg 4,4500000,45500,3,4,99,2025-07-04,,Lägenhet
Kronovallsgatan 21,8200000,54700,6,,150,2025-07-04,332,Radhus
Nicoloviusgatan 5A,2995000,62400,2,9,48,2025-07-04,,Lägenhet
Köpenhamnsvägen 47A,2095000,39200,2,4,53,2025-07-04,,Lägenhet
Kronetorpsgatan 90C,1295000,14200,4,2,91,2025-07-04,,Lägenhet
Nobelvägen 30A,1270000,37400,1,1,34,2025-07-04,,Lägenhet
Polgatan 79,7300000,56600,4,,129,2025-07-04,334,Villa
Norrbäcksgatan 31,820000,12800,2,8,64,2025-07-04,,Lägenhet
Pilåkersvägen 4C,2100000,33300,3,3,63,2025-07-04,,Lägenhet
Carl Flormansgatan 13,2025000,27000,2,4,75,2025-07-04,,Lägenhet
Ellstorpsgatan 3A,1600000,24600,3,5,65,2025-07-04,,Lägenhet
Östra Varvsgatan 5B,6875000,55000,4,7,125,2025-07-04,,Lägenhet
Berguvsgatan 2B,850000,22400,2,4,38,2025-07-04,,Lägenhet
Stadiongatan 51A,1670000,22100,3,8,75,2025-07-04,,Lägenhet
Rosmarinvägen 34,3100000,21800,4,,142,2025-07-03,242,Radhus
Murbruksgatan 15A,3250000,45100,3,5,72,2025-07-03,,Lägenhet
Sandvångsgatan 3C,1675000,29300,2,3,57,2025-07-03,,Lägenhet
Lilla Varvsgatan 1,3150000,55300,2,3,57,2025-07-03,,Lägenhet
Stora Varvsgatan 39,1995000,39900,2,1,50,2025-07-03,,Lägenhet
Östra Ryttmästaregatan 5,6650000,47500,5,5,140,2025-07-03,,Lägenhet
Södra Gulsparvsgatan 29D,2700000,22400,5,2,120,2025-07-03,,Lägenhet
Slädgatan 7,2175000,43100,2,2,50,2025-07-03,,Lägenhet
Norregatan 10,2450000,37700,3,3,65,2025-07-03,,Lägenhet
Östra Farmvägen 38A,1950000,26000,3,1,75,2025-07-03,,Lägenhet
Karlskronaplan 3,1150000,33800,1,3,34,2025-07-03,,Lägenhet
Kronetorpsgatan 60A,1250000,21200,2,4,59,2025-07-03,,Lägenhet
Sjövägen 66,5600000,41800,5,,134,2025-07-03,860,Villa
Lagmansgatan 6A,1800000,44400,2,13,40,2025-07-03,,Lägenhet
Hyllie Boulevard 7A,2395000,38600,2,3,62,2025-07-03,,Lägenhet
Kungsörnsgatan 28,1375000,15400,3,2,89,2025-07-03,,Lägenhet
Vannavägen 52B,7400000,,6,,,2025-07-03,512,Villa
Hyacintgatan 21,1220000,15100,3,2,81,2025-07-03,,Lägenhet
Duvhöksgatan 4B,1750000,22300,3,,78,2025-07-03,,Lägenhet
Lönnebergagatan 29B,2000000,23800,3,2,84,2025-07-03,,Lägenhet
Skomakarebyn 1C,1750000,21300,3,4,82,2025-07-03,,Lägenhet
Regementsgatan 29C,4170000,52800,3,5,79,2025-07-02,,Lägenhet
Ehrensvärdsgatan 5,800000,27600,1,5,29,2025-07-02,,Lägenhet
Axel Danielssons väg 67,1795000,18500,4,3,97,2025-07-02,,Lägenhet
Linåkersvägen 31,2560000,22500,5,,114,2025-07-02,175,Villa
Sagas gränd 3E,3775000,37800,4,1,100,2025-07-02,,Lägenhet
Låglandsgatan 19,12000000,63500,,,189,2025-07-02,1214,Villa
Roskildevägen 25D,1910000,33500,2,3,57,2025-07-02,,Lägenhet
Ellstorpsgatan 5B,1575000,29700,2,4,53,2025-07-02,,Lägenhet
Föreningsgatan 81B,3100000,41900,3,3,74,2025-07-02,,Lägenhet
Zenithgatan 1,1995000,28100,2,1,71,2025-07-02,,Lägenhet
Evagatan 25,4550000,35300,,,129,2025-07-02,623,Kedjehus
Mölledalsgatan 91,3995000,36300,5,,110,2025-07-02,278,Radhus
Branteviksgatan 14A,930000,18400,2,2,50,2025-07-02,,Lägenhet
Lovartsgatan 3,3400000,45300,3,3,75,2025-07-02,,Lägenhet
Roslins väg 18D,2850000,50000,2,6,57,2025-07-02,,Lägenhet
Bomgatan 16,2150000,42200,2,2,51,2025-07-02,,Lägenhet
Carlsgatan 31,4395000,54600,3,11,80,2025-07-02,,Lägenhet
Långgårdsgatan 1,4025000,50300,3,4,80,2025-07-02,,Lägenhet
Hyacintgatan 7,1640000,21600,3,5,76,2025-07-02,,Lägenhet
Föreningsgatan 66,2110000,38300,2,4,55,2025-07-02,,Lägenhet
Köpenhamnsvägen 15D,2050000,38000,2,2,54,2025-07-02,,Lägenhet
Kilian Zollsgatan 7A,3200000,50000,3,2,64,2025-07-01,,Lägenhet
Roskildevägen 27A,2615000,39000,3,3,67,2025-07-01,,Lägenhet
Strandgårdsgränd 1,9000000,55600,6,,162,2025-07-01,761,Villa
Roslins väg 18B,2710000,47500,2,1,57,2025-07-01,,Lägenhet
Östra Bunkeflovägen 109,5400000,33800,5,,160,2025-07-01,926,Villa
Bertrandsgatan 3A,2195000,40600,2,2,54,2025-07-01,,Lägenhet
Ambultsgatan 43,3750000,24000,6,,156,2025-07-01,409,Villa
Södra Bulltoftavägen 25,5900000,42800,5,1,138,2025-07-01,,Lägenhet
Köpenhamnsvägen 46B,3025000,40600,3,3,74,2025-07-01,,Lägenhet
Kilian Zollsgatan 30A,2350000,37300,2,1,63,2025-07-01,,Lägenhet
Ormvråksgatan 27,1800000,20100,4,3,89,2025-07-01,,Lägenhet
Bomgatan 17,3195000,39900,3,1,80,2025-07-01,,Lägenhet
Västanväg 53B,2540000,37100,3,1,68,2025-07-01,,Lägenhet
Föreningsgatan 66,1950000,36100,2,4,54,2025-07-01,,Lägenhet
Limhamns Stationsväg 27,3095000,56300,2,7,55,2025-07-01,,Lägenhet
Vresalmsgatan 23,6900000,47900,4,,144,2025-07-01,668,Villa
Argogatan 4,2800000,57100,2,5,49,2025-07-01,,Lägenhet
Sperlingsgatan 10B,1395000,26100,2,4,53,2025-06-30,,Lägenhet
Carlsgatan 35,3445000,51800,3,12,66,2025-06-30,,Lägenhet
Limhamnsvägen 133D,3350000,36200,3,3,92,2025-06-30,,Lägenhet
Exercisgatan 2A,3950000,36200,3,5,109,2025-06-30,,Lägenhet
Bertil Muhrs gata 34,2450000,,,,,2025-06-30,469,Tomt/mark
Köpenhamnsvägen 13A,3950000,45700,4,6,86,2025-06-30,,Lägenhet
Fersens väg 12,3175000,62300,2,3,51,2025-06-30,,Lägenhet
Sallerupsvägen 4,2695000,33300,3,5,81,2025-06-30,,Lägenhet
Lotsgatan 220,4825000,38100,5,,126,2025-06-30,,Lägenhet
Broddagatan 45,4750000,46600,4,,102,2025-06-30,340,Kedjehus
