address,price,pris_per_kvm,rum,van,kvm,date,kvm_tomt,housing_type,monthly_fee,build_year,utropspris
Slussgatan 12C,2670000,44500,2,4,60,2025-07-05,,Lägenhet,2780,1901,2595000
Nobelvägen 82,2200000,30100,2,4,73,2025-07-05,,Lägenhet,5332,,2295000
Roslins väg 4,4500000,45500,3,4,99,2025-07-04,,Lägenhet,6118,1935,4295000
Nicoloviusgatan 5A,2995000,62400,2,9,48,2025-07-04,,Lägenhet,2891,1959,2995000
Köpenhamnsvägen 47A,2095000,39200,2,4,53,2025-07-04,,Lägenhet,4716,1952,2095000
Kronetorpsgatan 90C,1295000,14200,4,2,91,2025-07-04,,Lägenhet,6928,1964,1295000
Nobelvägen 30A,1270000,37400,1,1,34,2025-07-04,,Lägenhet,2008,1929,1295000
Norrbäcksgatan 31,820000,12800,2,8,64,2025-07-04,,Lägenhet,4479,1964,895000
Pilåkersvägen 4C,2100000,33300,3,3,63,2025-07-04,,Lägenhet,6140,1951,2195000
Carl Flormansgatan 13,2025000,27000,2,4,75,2025-07-04,,Lägenhet,5492,2012,2150000
Ellstorpsgatan 3A,1600000,24600,3,5,65,2025-07-04,,Lägenhet,5999,,1695000
Östra Varvsgatan 5B,6875000,55000,4,7,125,2025-07-04,,Lägenhet,6500,2019,6995000
Berguvsgatan 2B,850000,22400,2,4,38,2025-07-04,,Lägenhet,2575,1962,875000
Stadiongatan 51A,1670000,22100,3,8,75,2025-07-04,,Lägenhet,4982,1958,1745000
Murbruksgatan 15A,3250000,45100,3,5,72,2025-07-03,,Lägenhet,5080,2024,3275000
Sandvångsgatan 3C,1675000,29300,2,3,57,2025-07-03,,Lägenhet,3037,1954,1650000
Lilla Varvsgatan 1,3150000,55300,2,3,57,2025-07-03,,Lägenhet,4453,2005,2995000
Stora Varvsgatan 39,1995000,39900,2,1,50,2025-07-03,,Lägenhet,4347,2021,1995000
Östra Ryttmästaregatan 5,6650000,47500,5,5,140,2025-07-03,,Lägenhet,7720,1931,6995000
Södra Gulsparvsgatan 29D,2700000,22400,5,2,120,2025-07-03,,Lägenhet,6678,1965,2895000
Slädgatan 7,2175000,43100,2,2,50,2025-07-03,,Lägenhet,3816,2021,2195000
Norregatan 10,2450000,37700,3,3,65,2025-07-03,,Lägenhet,3671,1970,2495000
Östra Farmvägen 38A,1950000,26000,3,1,75,2025-07-03,,Lägenhet,4883,1955,1975000
Karlskronaplan 3,1150000,33800,1,3,34,2025-07-03,,Lägenhet,3318,1935,1150000
Kronetorpsgatan 60A,1250000,21200,2,4,59,2025-07-03,,Lägenhet,4288,1961,1295000
Lagmansgatan 6A,1800000,44400,2,13,40,2025-07-03,,Lägenhet,3082,1965,1895000
Hyllie Boulevard 7A,2395000,38600,2,3,62,2025-07-03,,Lägenhet,4018,2015,2395000
Kungsörnsgatan 28,1375000,15400,3,2,89,2025-07-03,,Lägenhet,6288,1967,1545000
Hyacintgatan 21,1220000,15100,3,2,81,2025-07-03,,Lägenhet,5439,1973,1245000
Duvhöksgatan 4B,1750000,22300,3,,78,2025-07-03,,Lägenhet,4763,1962,1795000
Lönnebergagatan 29B,2000000,23800,3,2,84,2025-07-03,,Lägenhet,5606,2009,2395000
Skomakarebyn 1C,1750000,21300,3,4,82,2025-07-03,,Lägenhet,7433,2006,1995000
Regementsgatan 29C,4170000,52800,3,5,79,2025-07-02,,Lägenhet,4581,1943,4200000
Ehrensvärdsgatan 5,800000,27600,1,5,29,2025-07-02,,Lägenhet,2703,,895000
Axel Danielssons väg 67,1795000,18500,4,3,97,2025-07-02,,Lägenhet,6190,1973,1795000
Sagas gränd 3E,3775000,37800,4,1,100,2025-07-02,,Lägenhet,6540,2017,3795000
Roskildevägen 25D,1910000,33500,2,3,57,2025-07-02,,Lägenhet,5642,1946,1895000
Ellstorpsgatan 5B,1575000,29700,2,4,53,2025-07-02,,Lägenhet,3242,1944,1595000
Föreningsgatan 81B,3100000,41900,3,3,74,2025-07-02,,Lägenhet,4473,1924,3095000
Zenithgatan 1,1995000,28100,2,1,71,2025-07-02,,Lägenhet,3849,1927,1995000
Branteviksgatan 14A,930000,18400,2,2,50,2025-07-02,,Lägenhet,3602,1955,995000
Lovartsgatan 3,3400000,45300,3,3,75,2025-07-02,,Lägenhet,5442,2019,3595000
Roslins väg 18D,2850000,50000,2,6,57,2025-07-02,,Lägenhet,3462,1942,2995000
Bomgatan 16,2150000,42200,2,2,51,2025-07-02,,Lägenhet,3876,,2295000
Carlsgatan 31,4395000,54600,3,11,80,2025-07-02,,Lägenhet,5665,2024,4395000
Långgårdsgatan 1,4025000,50300,3,4,80,2025-07-02,,Lägenhet,5828,1979,4195000
Hyacintgatan 7,1640000,21600,3,5,76,2025-07-02,,Lägenhet,5202,1973,1650000
Föreningsgatan 66,2110000,38300,2,4,55,2025-07-02,,Lägenhet,3441,1929,2195000
Köpenhamnsvägen 15D,2050000,38000,2,2,54,2025-07-02,,Lägenhet,4253,1954,2150000
Kilian Zollsgatan 7A,3200000,50000,3,2,64,2025-07-01,,Lägenhet,4672,1939,3295000
Roskildevägen 27A,2615000,39000,3,3,67,2025-07-01,,Lägenhet,6427,1947,2495000
Roslins väg 18B,2710000,47500,2,1,57,2025-07-01,,Lägenhet,3248,1942,2695000
Bertrandsgatan 3A,2195000,40600,2,2,54,2025-07-01,,Lägenhet,3844,2018,2195000
Södra Bulltoftavägen 25,5900000,42800,5,1,138,2025-07-01,,Lägenhet,9320,,5995000
Köpenhamnsvägen 46B,3025000,40600,3,3,74,2025-07-01,,Lägenhet,4927,1951,3095000
Kilian Zollsgatan 30A,2350000,37300,2,1,63,2025-07-01,,Lägenhet,2852,1940,2350000
Ormvråksgatan 27,1800000,20100,4,3,89,2025-07-01,,Lägenhet,6820,1968,1895000
Bomgatan 17,3195000,39900,3,1,80,2025-07-01,,Lägenhet,5190,,3195000
Västanväg 53B,2540000,37100,3,1,68,2025-07-01,,Lägenhet,4441,1946,2595000
Föreningsgatan 66,1950000,36100,2,4,54,2025-07-01,,Lägenhet,2000,1929,1995000
Limhamns Stationsväg 27,3095000,56300,2,7,55,2025-07-01,,Lägenhet,3856,2022,3095000
Argogatan 4,2800000,57100,2,5,49,2025-07-01,,Lägenhet,3022,2021,2895000
Sperlingsgatan 10B,1395000,26100,2,4,53,2025-06-30,,Lägenhet,3861,1957,1395000
Carlsgatan 35,3445000,51800,3,12,66,2025-06-30,,Lägenhet,4890,,3495000
Limhamnsvägen 133D,3350000,36200,3,3,92,2025-06-30,,Lägenhet,6314,2015,3495000
Exercisgatan 2A,3950000,36200,3,5,109,2025-06-30,,Lägenhet,5029,,4000000
Köpenhamnsvägen 13A,3950000,45700,4,6,86,2025-06-30,,Lägenhet,7006,1953,4095000
Fersens väg 12,3175000,62300,2,3,51,2025-06-30,,Lägenhet,2467,1931,2995000
Sallerupsvägen 4,2695000,33300,3,5,81,2025-06-30,,Lägenhet,4611,1927,2595000
Lotsgatan 220,4825000,38100,5,,126,2025-06-30,,Lägenhet,6576,1995,4795000
Mäster Danielsgatan 3,2550000,33100,3,3,77,2025-06-30,,Lägenhet,6828,1930,2695000
Köpenhamnsvägen 34B,1630000,29400,2,2,55,2025-06-30,,Lägenhet,4023,,1795000
Albinsrogatan 41,1673000,28400,2,8,59,2025-06-30,,Lägenhet,4121,1966,1795000
Solhöjdsgatan 19,4350000,53000,3,6,82,2025-06-30,,Lägenhet,5855,2021,4445000
Mellanhedsgatan 22A,1237500,45800,1,1,27,2025-06-30,,Lägenhet,2212,1953,1250000
Ängdalavägen 30,2405000,40100,2,2,60,2025-06-30,,Lägenhet,3500,1959,2395000
Hyllie Allé 32B,2800000,36800,3,3,76,2025-06-30,,Lägenhet,5558,2019,2995000
Ahrenbergsgatan 10,2160000,30900,3,2,70,2025-06-30,,Lägenhet,5700,2019,2245000
Stora Kvarngatan 16,4600000,35700,5,2,129,2025-06-29,,Lägenhet,7238,1894,4795000
Västanväg 43C,1425000,30300,1,3,47,2025-06-29,,Lägenhet,3645,1947,1695000
Norra Bulltoftavägen 45A,1710000,25500,3,2,67,2025-06-29,,Lägenhet,4964,1951,1750000
Rantzowgatan 9C,1175000,23300,2,2,50,2025-06-29,,Lägenhet,4409,1946,1195000
Sankt Knuts väg 6A,1850000,44300,2,1,41,2025-06-29,,Lägenhet,2438,1931,1895000
Lilla Varvsgatan 19A,2400000,47100,2,3,51,2025-06-29,,Lägenhet,3457,2018,2495000
Norra Tennisgränd 4,2890000,37100,3,1,78,2025-06-28,,Lägenhet,5521,2018,2950000
Kronetorpsgatan 98C,1425000,16600,4,1,86,2025-06-28,,Lägenhet,6631,1964,1425000
Blekingsborgsgatan 11,1295000,24400,2,3,53,2025-06-28,,Lägenhet,4262,1957,1395000
Henrik Wranérsgatan 1C,2895000,42600,2,4,68,2025-06-28,,Lägenhet,4557,,2895000
Roskildevägen 31B,1900000,37600,2,2,50,2025-06-28,,Lägenhet,4561,1947,1995000
Ingenjörsgatan 6,3050000,29500,4,6,103,2025-06-28,,Lägenhet,6166,1967,3395000
Regementsgatan 56A,2250000,44600,2,5,50,2025-06-28,,Lägenhet,3729,1939,2250000
Kapellplan 1,2495000,38400,2,1,65,2025-06-28,,Lägenhet,4783,1934,2495000
Falsterbogatan 20,2195000,34300,2,4,64,2025-06-28,,Lägenhet,4634,1936,2195000
Nicoloviusgatan 8B,8375000,63400,6,6,132,2025-06-27,,Lägenhet,,,
Sergels väg 12B,7545000,51300,5,3,147,2025-06-27,,Lägenhet,6711,1957,7495000
Barlastgatan 4,2295000,45000,2,5,51,2025-06-27,,Lägenhet,3722,2022,2295000
Östra Rönneholmsvägen 6B,7995000,41600,6,2,192,2025-06-27,,Lägenhet,9830,1910,7995000
Friggs gränd 4,3800000,39200,4,4,97,2025-06-27,,Lägenhet,6143,2020,3950000
Thottsgatan 16A,4650000,65500,2,4,71,2025-06-27,,Lägenhet,4718,1929,4795000
Vendelsfridsgatan 4E,1815000,22300,4,4,81,2025-06-27,,Lägenhet,5301,1958,1795000
Lugna gatan 50,3225000,41900,3,7,77,2025-06-27,,Lägenhet,6676,1978,2950000
Spårvägen 28A,1495000,40400,1,4,37,2025-06-27,,Lägenhet,2973,2020,1495000
Aktrisgatan 20,1695000,21600,3,4,78,2025-06-27,,Lägenhet,5130,1972,1695000
Eslövsgatan 9G,1995000,38400,2,2,52,2025-06-27,,Lägenhet,3298,1936,1995000
Saarisvägen 14A,700000,21200,1,5,33,2025-06-27,,Lägenhet,3153,1938,795000
Föreningsgatan 65A,4000000,37000,3,1,108,2025-06-27,,Lägenhet,6587,1928,4150000
Hjorttackegatan 1,4200000,64600,2,2,65,2025-06-27,,Lägenhet,3925,1907,4395000
Lagmansgatan 3C,1795000,30400,2,1,59,2025-06-27,,Lägenhet,3943,1964,1795000
Solvändegatan 5C,930000,16000,2,1,58,2025-06-27,,Lägenhet,3923,1959,995000
Erikslustvägen 42J,2300000,34800,3,2,66,2025-06-27,,Lägenhet,4650,1953,2300000
Per Albin Hanssons väg 56B,1450000,19500,3,9,74,2025-06-26,,Lägenhet,6372,1957,1450000
Köpmansgatan 14,650000,9800,2,4,66,2025-06-26,,Lägenhet,4835,1946,595000
Västanväg 47A,1100000,22000,1,2,50,2025-06-26,,Lägenhet,3813,1947,1195000
