address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Arkitektgatan 55,2100000,23900,3,2,88,2025-07-08,,Lägenhet,5985,1967,2100000,1
Klostergatan 3,4700000,48500,3,4,97,2025-07-08,,Lägenhet,7787,1911,4495000,1
Statistgatan 10,1550000,19600,3,6,79,2025-07-09,,Lägenhet,5064,,1645000,1
Rådmansgatan 15H,2100000,42900,2,2,49,2025-07-08,,Lägenhet,4073,1945,2100000,1
Henrik Smithsgatan 7,3295000,45800,3,4,72,2025-07-08,,Lägenhet,5629,1929,3295000,1
Sundholmsgatan 14A,1840000,43800,2,2,42,2025-07-08,,Lägenhet,3342,2019,1895000,1
Holma Torg 1B,1850000,20400,4,3,90,2025-07-08,,Lägenhet,7363,2015,1850000,1
Kristianstadsgatan 19,1925000,38900,2,1,49,2025-07-08,,Lägenhet,4621,1929,1995000,1
Sergeantgatan 23,1800000,16900,4,3,106,2025-07-08,,Lägenhet,6066,1967,1895000,1
Nobelvägen 109A,1680000,32000,2,1,52,2025-07-08,,Lägenhet,3671,1955,1720000,1
Major Nilssonsgatan 7A,4850000,44900,4,3,108,2025-07-07,,Lägenhet,5327,1944,4695000,1
Barlastgatan 28,3195000,41800,3,5,76,2025-07-08,,Lägenhet,4791,2020,3195000,1
Tessins väg 19B,5350000,39300,5,5,136,2025-07-07,,Lägenhet,6594,1957,5495000,1
Ormvråksgatan 64,900000,12900,2,4,69,2025-07-07,,Lägenhet,5117,1968,995000,1
Ymers gata 19A,2495000,45100,2,6,55,2025-07-07,,Lägenhet,3456,2019,2495000,1
Hattsnäcksgränd 3,2995000,41000,2,2,73,2025-07-07,,Lägenhet,3433,2011,2995000,1
Västra Skrävlingevägen 163,1290000,21900,2,2,59,2025-07-07,,Lägenhet,3621,1969,1345000,1
Hjorttackegatan 9B,3850000,58300,3,3,66,2025-07-07,,Lägenhet,4519,1940,3995000,1
Per Albin Hanssons väg 56A,2700000,18800,6,11,144,2025-07-07,,Lägenhet,10831,1957,2995000,1
Ormvråksgatan 60,1495000,21500,2,8,69,2025-07-07,,Lägenhet,4819,,1495000,1
Geijersgatan 2G,2650000,51000,2,3,52,2025-07-07,,Lägenhet,4596,2022,2495000,1
Ellstorpsgatan 4G,1240000,26400,2,4,47,2025-07-07,,Lägenhet,4592,1938,1295000,1
Tornfalksgatan 13,1200000,14000,3,2,86,2025-07-06,,Lägenhet,6381,1970,1195000,1
Slussgatan 12C,2670000,44500,2,4,60,2025-07-05,,Lägenhet,2780,1901,2595000,1
Nobelvägen 82,2200000,30100,2,4,73,2025-07-05,,Lägenhet,5332,,2295000,1
Roslins väg 4,4500000,45500,3,4,99,2025-07-04,,Lägenhet,6118,1935,4295000,1
Köpenhamnsvägen 47A,2095000,39200,2,4,53,2025-07-04,,Lägenhet,4716,1952,2095000,1
Nicoloviusgatan 5A,2995000,62400,2,9,48,2025-07-04,,Lägenhet,2891,1959,2995000,1
Kronetorpsgatan 90C,1295000,14200,4,2,91,2025-07-04,,Lägenhet,6928,1964,1295000,1
Exercisgatan 3,1600000,48500,1,2,33,2025-07-04,,Lägenhet,1849,1927,1595000,1
Nobelvägen 30A,1270000,37400,1,1,34,2025-07-04,,Lägenhet,2008,1929,1295000,1
Lägatan 11A,3050000,42400,3,1,72,2025-07-04,,Lägenhet,5196,2020,3125000,1
Norrbäcksgatan 31,820000,12800,2,8,64,2025-07-04,,Lägenhet,4479,1964,895000,1
Kommendörsgatan 5B,2450000,41500,2,2,59,2025-07-04,,Lägenhet,5035,1898,2450000,1
Pilåkersvägen 4C,2100000,33300,3,3,63,2025-07-04,,Lägenhet,6140,1951,2195000,1
Östra Varvsgatan 5B,6875000,55000,4,7,125,2025-07-04,,Lägenhet,6500,2019,6995000,2
Ellstorpsgatan 3A,1600000,24600,3,5,65,2025-07-04,,Lägenhet,5999,,1695000,2
Berguvsgatan 2B,850000,22400,2,4,38,2025-07-04,,Lägenhet,2575,1962,875000,2
Carl Flormansgatan 13,2025000,27000,2,4,75,2025-07-04,,Lägenhet,5492,2012,2150000,2
Stadiongatan 51A,1670000,22100,3,8,75,2025-07-04,,Lägenhet,4982,1958,1745000,2
Sandvångsgatan 3C,1675000,29300,2,3,57,2025-07-03,,Lägenhet,3037,1954,1650000,2
Murbruksgatan 15A,3250000,45100,3,5,72,2025-07-03,,Lägenhet,5080,2024,3275000,2
Lilla Varvsgatan 1,3150000,55300,2,3,57,2025-07-03,,Lägenhet,4453,2005,2995000,2
Stora Varvsgatan 39,1995000,39900,2,1,50,2025-07-03,,Lägenhet,4347,2021,1995000,2
Östra Ryttmästaregatan 5,6650000,47500,5,5,140,2025-07-03,,Lägenhet,7720,1931,6995000,2
Norregatan 10,2450000,37700,3,3,65,2025-07-03,,Lägenhet,3671,1970,2495000,2
Södra Gulsparvsgatan 29D,2700000,22400,5,2,120,2025-07-03,,Lägenhet,6678,1965,2895000,2
Slädgatan 7,2175000,43100,2,2,50,2025-07-03,,Lägenhet,3816,2021,2195000,2
Östra Farmvägen 38A,1950000,26000,3,1,75,2025-07-03,,Lägenhet,4883,1955,1975000,2
Karlskronaplan 3,1150000,33800,1,3,34,2025-07-03,,Lägenhet,3318,1935,1150000,2
Kronetorpsgatan 60A,1250000,21200,2,4,59,2025-07-03,,Lägenhet,4288,1961,1295000,2
Lagmansgatan 6A,1800000,44400,2,13,40,2025-07-03,,Lägenhet,3082,1965,1895000,2
Kungsörnsgatan 28,1375000,15400,3,2,89,2025-07-03,,Lägenhet,6288,1967,1545000,2
Hyllie Boulevard 7A,2395000,38600,2,3,62,2025-07-03,,Lägenhet,4018,2015,2395000,2
Hyacintgatan 21,1220000,15100,3,2,81,2025-07-03,,Lägenhet,5439,1973,1245000,2
Skomakarebyn 1C,1750000,21300,3,4,82,2025-07-03,,Lägenhet,7433,2006,1995000,2
Regementsgatan 29C,4170000,52800,3,5,79,2025-07-02,,Lägenhet,4581,1943,4200000,2
Lönnebergagatan 29B,2000000,23800,3,2,84,2025-07-03,,Lägenhet,5606,2009,2395000,2
Ehrensvärdsgatan 5,800000,27600,1,5,29,2025-07-02,,Lägenhet,2703,,895000,2
Axel Danielssons väg 67,1795000,18500,4,3,97,2025-07-02,,Lägenhet,6190,1973,1795000,2
Roskildevägen 25D,1910000,33500,2,3,57,2025-07-02,,Lägenhet,5642,1946,1895000,2
Sagas gränd 3E,3775000,37800,4,1,100,2025-07-02,,Lägenhet,6540,2017,3795000,2
Ellstorpsgatan 5B,1575000,29700,2,4,53,2025-07-02,,Lägenhet,3242,1944,1595000,2
Föreningsgatan 81B,3100000,41900,3,3,74,2025-07-02,,Lägenhet,4473,1924,3095000,2
Zenithgatan 1,1995000,28100,2,1,71,2025-07-02,,Lägenhet,3849,1927,1995000,2
Branteviksgatan 14A,930000,18400,2,2,50,2025-07-02,,Lägenhet,3602,1955,995000,2
Bomgatan 16,2150000,42200,2,2,51,2025-07-02,,Lägenhet,3876,,2295000,2
Lovartsgatan 3,3400000,45300,3,3,75,2025-07-02,,Lägenhet,5442,2019,3595000,2
Roslins väg 18D,2850000,50000,2,6,57,2025-07-02,,Lägenhet,3462,1942,2995000,2
Carlsgatan 31,4395000,54600,3,11,80,2025-07-02,,Lägenhet,5665,2024,4395000,2
Föreningsgatan 66,2110000,38300,2,4,55,2025-07-02,,Lägenhet,3441,1929,2195000,3
Långgårdsgatan 1,4025000,50300,3,4,80,2025-07-02,,Lägenhet,5828,1979,4195000,3
Hyacintgatan 7,1640000,21600,3,5,76,2025-07-02,,Lägenhet,5202,1973,1650000,3
Köpenhamnsvägen 15D,2050000,38000,2,2,54,2025-07-02,,Lägenhet,4253,1954,2150000,3
Kilian Zollsgatan 7A,3200000,50000,3,2,64,2025-07-01,,Lägenhet,4672,1939,3295000,3
Roskildevägen 27A,2615000,39000,3,3,67,2025-07-01,,Lägenhet,6427,1947,2495000,3
Södra Bulltoftavägen 25,5900000,42800,5,1,138,2025-07-01,,Lägenhet,9320,,5995000,3
Bertrandsgatan 3A,2195000,40600,2,2,54,2025-07-01,,Lägenhet,3844,2018,2195000,3
Roslins väg 18B,2710000,47500,2,1,57,2025-07-01,,Lägenhet,3248,1942,2695000,3
Köpenhamnsvägen 46B,3025000,40600,3,3,74,2025-07-01,,Lägenhet,4927,1951,3095000,3
Bomgatan 17,3195000,39900,3,1,80,2025-07-01,,Lägenhet,5190,,3195000,3
Ormvråksgatan 27,1800000,20100,4,3,89,2025-07-01,,Lägenhet,6820,1968,1895000,3
Kilian Zollsgatan 30A,2350000,37300,2,1,63,2025-07-01,,Lägenhet,2852,1940,2350000,3
Västanväg 53B,2540000,37100,3,1,68,2025-07-01,,Lägenhet,4441,1946,2595000,3
Föreningsgatan 66,1950000,36100,2,4,54,2025-07-01,,Lägenhet,2000,1929,1995000,3
Argogatan 4,2800000,57100,2,5,49,2025-07-01,,Lägenhet,3022,2021,2895000,3
Limhamns Stationsväg 27,3095000,56300,2,7,55,2025-07-01,,Lägenhet,3856,2022,3095000,3
Carlsgatan 35,3445000,51800,3,12,66,2025-06-30,,Lägenhet,4890,,3495000,3
Sperlingsgatan 10B,1395000,26100,2,4,53,2025-06-30,,Lägenhet,3861,1957,1395000,3
Limhamnsvägen 133D,3350000,36200,3,3,92,2025-06-30,,Lägenhet,6314,2015,3495000,3
Köpenhamnsvägen 13A,3950000,45700,4,6,86,2025-06-30,,Lägenhet,7006,1953,4095000,3
Exercisgatan 2A,3950000,36200,3,5,109,2025-06-30,,Lägenhet,5029,,4000000,3
Fersens väg 12,3175000,62300,2,3,51,2025-06-30,,Lägenhet,2467,1931,2995000,3
Sallerupsvägen 4,2695000,33300,3,5,81,2025-06-30,,Lägenhet,4611,1927,2595000,3
Lotsgatan 220,4825000,38100,5,,126,2025-06-30,,Lägenhet,6576,1995,4795000,3
Köpenhamnsvägen 34B,1630000,29400,2,2,55,2025-06-30,,Lägenhet,4023,,1795000,3
